window_id,video_id,tipo,start_frame,end_frame,start_time_s,end_time_s,frames,D_video_mean,D_video_max,R_det_exp,R_det_conf,max_confidence_mean,blur_mean,noise_mean,temporal_instability_mean,contrast_mean,brightness_mean,latency_mean_ms,latency_p95_ms,R_latency,R_system_proxy
0,video_digital_3,digital,10,24,0.4,0.96,15,0.19728541436304456,0.2907106965982301,0.7333333333333333,0.37246270577112833,0.37246270577112833,901.487380791101,7.310215314229329,11.292599826388889,50.16496056769409,139.02822916666668,45.051880013973765,54.000510019250214,1.0,0.29427933836776005
1,video_digital_3,digital,25,49,1.0,1.96,25,0.20338728634786146,0.20638012316425985,0.48,0.2762989258766174,0.2762989258766174,976.9231050266022,7.824388675689697,13.16279565972222,50.200176674851136,138.40607152777778,42.83902799477801,49.578539980575435,1.0,0.2201379962808143
2,video_digital_3,digital,50,74,2.0,2.96,25,0.20593971049963897,0.21852743117661794,0.6,0.28292725920677186,0.28292725920677186,831.7833109301095,6.915952529907226,17.960993055555555,52.56400480534698,143.81703524305556,42.46009999886155,48.03115999093279,1.0,0.22458475813485346
3,video_digital_3,digital,75,99,3.0,3.96,25,0.18923981768429116,0.1942191129928948,0.96,0.6810573732852936,0.6810573732852936,516.4900171011526,5.498569583892822,8.731861631944446,47.73309480515273,140.63068125,45.22772400639951,51.33065999252722,1.0,0.5523101979500378
4,video_digital_3,digital,100,124,4.0,4.96,25,0.19588602641254224,0.20529900163058634,0.8,0.542134131193161,0.542134131193161,613.8966513275304,6.014648189544678,7.493286979166666,46.47868225508344,142.28306111111112,56.51435600128025,72.33207999961449,1.0,0.4361799270587182
5,video_digital_3,digital,125,149,5.0,5.96,25,0.1988174992475801,0.20521622169131232,1.0,0.741968994140625,0.741968994140625,722.9082335918353,6.444172325134278,10.472308680555555,48.677520368117996,142.9330625,45.913175996392965,50.52729999879375,1.0,0.594378824840531
6,video_digital_3,digital,150,174,6.0,6.96,25,0.19675996434527512,0.20188553696084777,1.0,0.8099907231330872,0.8099907231330872,751.7852215600315,6.3928436851501464,14.090059027777777,50.61030445533943,140.40313472222223,43.305627999361604,53.81223997101185,1.0,0.6506106790118829
7,video_digital_3,digital,175,199,7.0,7.96,25,0.19782030828902536,0.20700232768443252,1.0,0.7569431686401367,0.7569431686401367,567.9270693278311,5.428115539550781,10.001241145833333,47.99286821718072,146.93114253472223,44.90946399047971,50.063839997164905,1.0,0.6073508222705557
8,video_digital_3,digital,200,224,8.0,8.96,25,0.1849926116849827,0.20070519971877965,1.0,0.7978220891952514,0.7978220891952514,709.3657146514402,5.911319847106934,18.34238611111111,57.090664271847075,142.09039045138888,41.69919200008735,45.902060030493885,1.0,0.6503247414569221
9,video_digital_3,digital,225,249,9.0,9.96,25,0.16022835101487992,0.1654837665061905,1.0,0.8615994048118591,0.8615994048118591,547.4331640657484,5.247089347839355,17.85250434027778,60.11857539949573,129.1153684027778,47.056115998420864,54.18901998782529,1.0,0.7236161685496022
10,video_digital_3,digital,250,274,10.0,10.96,25,0.1732559007848484,0.20217227491023543,1.0,0.8405916666984559,0.8405916666984559,307.03443325916805,3.994165105819702,16.5616109375,56.377634436223126,112.27928628472222,46.08315999619663,65.37985999602819,1.0,0.6963916431873478
11,video_digital_3,digital,275,299,11.0,11.96,25,0.21284567009152217,0.27380423613912486,0.68,0.47378183126449586,0.47378183126449586,200.34443357570845,3.4452457332611086,15.453561284722223,46.39932488399281,102.1034734375,44.44953999482095,47.69259998574853,1.0,0.3710810828181893
12,video_digital_3,digital,300,324,12.0,12.96,25,0.1497839124787527,0.21130560673642088,1.0,0.8818761420249939,0.8818761420249939,322.8782449933487,4.257674722671509,15.966380902777779,62.893297161937916,124.14668628472222,58.259240000043064,78.08824003441256,1.0,0.749798933430091
13,video_digital_3,digital,325,349,13.0,13.96,25,0.1414039473486435,0.16333111449651552,1.0,0.8743089818954468,0.8743089818954468,512.5885672306828,5.448817024230957,19.33270451388889,70.29449550884476,117.11457465277778,55.61620000284165,66.15426001371814,1.0,0.7505893172063487
14,video_digital_3,digital,350,374,14.0,14.96,25,0.16377729440746946,0.28910646476256247,1.0,0.9007361578941345,0.9007361578941345,848.3104935260146,7.104054279327393,11.917077604166666,65.37267267822385,107.34767326388888,48.73202000046149,54.09622001461685,1.0,0.7532196944164785
15,video_digital_3,digital,375,399,15.0,15.96,25,0.12946556890373978,0.14648284295187255,1.0,0.8995320081710816,0.8995320081710816,738.3510172348127,6.6188908958435055,6.5287463541666675,66.63543217046676,122.16600572916667,44.79311599629,52.61530000716447,1.0,0.7830653568816855
16,video_digital_3,digital,400,424,16.0,16.96,25,0.1329703447545655,0.2094516274879093,0.88,0.774714560508728,0.774714560508728,845.9209126306989,6.974922866821289,10.137062152777778,68.17538999305921,131.73649878472222,42.83164799679071,46.9116399763152,1.0,0.6720698250004163
17,video_digital_3,digital,425,449,17.0,17.96,25,0.10830010722266786,0.12654934344563962,0.08,0.04752395153045654,0.04752395153045654,298.93274030255884,4.160662660598755,21.868674305555555,78.24823550977672,125.89569166666666,42.49946800293401,46.70361999887973,1.0,0.04168564491892803
18,video_digital_3,digital,450,474,18.0,18.96,25,0.1477524131755888,0.15411904976271576,0.96,0.8159387278556823,0.8159387278556823,1027.2445027050835,7.917245101928711,15.514840451388888,69.91695721957868,134.72528142361114,41.52329998789355,44.709559984039515,1.0,0.695220983527141
19,video_digital_3,digital,475,499,19.0,19.96,25,0.1586668470523265,0.17390966620125697,1.0,0.8082096433639526,0.8082096433639526,1134.6140574219828,8.364902725219727,14.741638020833333,64.20018462724285,127.3102734375,41.27381200436503,45.79062000848352,1.0,0.6801155082155751
20,video_digital_3,digital,500,524,20.0,20.96,25,0.1691026027216166,0.17505910428132537,0.48,0.2831551277637482,0.2831551277637482,1017.8868976304548,7.918753623962402,19.529721354166664,62.84288323883207,126.76297204861112,47.36981600057334,52.99202002352103,1.0,0.23498669493377808
21,video_digital_3,digital,525,549,21.0,21.96,25,0.19069353737992614,0.21382298692801902,0.96,0.6938319110870361,0.6938319110870361,715.5386966832999,6.678588771820069,15.568694097222222,55.82472255094078,143.93446180555554,46.300840000621974,51.08138002688065,1.0,0.5627091222508391
22,video_digital_3,digital,550,574,22.0,22.96,25,0.19709709874894554,0.279885453912468,1.0,0.8168529844284058,0.8168529844284058,1093.7678658500909,8.207993431091309,12.181823958333334,55.225040138627264,135.46597569444444,49.49468400562182,65.72140001226217,1.0,0.6578129305686836
23,video_digital_3,digital,575,599,23.0,23.96,25,0.14681228951237973,0.14964036368433473,1.0,0.8940198731422424,0.8940198731422424,1230.2541725147282,8.627936134338379,3.2094987847222223,65.81405442924434,115.45362708333334,44.6614639996551,49.17884001042694,1.0,0.7627681707446421
24,video_digital_3,digital,600,624,24.0,24.96,25,0.15056559790057356,0.15637604633720925,1.0,0.8912865853309632,0.8912865853309632,1202.7848794875829,8.573219871520996,5.843722916666667,67.94267642587481,110.98204027777778,41.98324399301782,44.58871999522671,1.0,0.757082968109041
25,video_digital_3,digital,625,649,25.0,25.96,25,0.15228106417962844,0.1573175876889917,1.0,0.8941847896575927,0.8941847896575927,1242.5036253958258,8.70845817565918,4.469571875,68.01812321382643,107.91696319444443,42.28406400652602,43.749700009357184,1.0,0.7580147461793488
26,video_digital_3,digital,650,674,26.0,26.96,25,0.1462606497479076,0.14944310632696348,1.0,0.8940063381195068,0.8940063381195068,1240.0193447929234,8.632174949645997,3.5970147569444446,68.06291143398772,111.1026345486111,41.201116000302136,43.57288000173867,1.0,0.763250399990811
