window_id,video_id,tipo,start_frame,end_frame,start_time_s,end_time_s,frames,D_video_mean,D_video_max,R_det_exp,R_det_conf,max_confidence_mean,blur_mean,noise_mean,temporal_instability_mean,contrast_mean,brightness_mean,latency_mean_ms,latency_p95_ms,R_latency,R_system_proxy
0,video_analog_4,analogico,10,28,0.33366666666666667,0.9342666666666667,19,0.4095576229855249,0.4346407797474323,0.7894736842105263,0.43266329326127706,0.43266329326127706,73.35809512922621,2.0957182269347343,14.343450828039925,45.82525014372393,152.31559451565337,33.36124210373352,37.75771000655367,1.0,0.25499299651565455
1,video_analog_4,analogico,29,57,0.9676333333333333,1.9019,29,0.27413537472221783,0.3766387751486466,0.896551724137931,0.507050694062792,0.507050694062792,93.4360215984863,2.297055721282959,10.22873052293896,73.75367546799546,140.85557898583036,34.987013793052654,38.79608000861481,1.0,0.3656919424238837
2,video_analog_4,analogico,58,86,1.9352666666666667,2.8695333333333335,29,0.2326028275102558,0.3135744733102202,0.13793103448275862,0.06786228253923614,0.06786228253923614,128.73616440670835,2.8019693719929664,9.035694114149821,64.12618081157699,110.05099908962545,33.61318620716639,36.56313999090344,1.0,0.05621688458700489
3,video_analog_4,analogico,87,115,2.9029000000000003,3.8371666666666666,29,0.23430895141928995,0.3762545952287586,0.4827586206896552,0.2863676095830983,0.2863676095830983,141.96850850834292,2.8998549642234015,13.33794465913595,53.762509088881565,123.9168074031411,33.45745516708121,36.27726000268012,1.0,0.2347936004842839
4,video_analog_4,analogico,116,144,3.8705333333333334,4.8048,29,0.4051957989850377,0.4414178450392079,0.0,0.0,0.0,78.39052126550197,2.153219153141153,15.793942757877527,37.912332857533166,119.69147638599881,32.61094482752077,35.50834002671763,1.0,0.0
5,video_analog_4,analogico,145,173,4.838166666666667,5.772433333333334,29,0.19603344909395026,0.3854045337230358,0.4827586206896552,0.2403271691552524,0.2403271691552524,208.74674458457142,3.6039140717736604,11.15064902893381,57.53760828880057,137.30127808536466,33.36044483223994,35.95105999847874,1.0,0.20961133335186746
6,video_analog_4,analogico,174,202,5.8058000000000005,6.740066666666666,29,0.16287426777158615,0.282521102225783,0.7931034482758621,0.4010724517805823,0.4010724517805823,193.1945566893713,3.385283609916424,9.543758515408244,69.39323006635354,153.12535764714625,53.483486211666005,116.86438000760958,1.0,0.3338661298753657
7,video_analog_4,analogico,203,231,6.773433333333333,7.7077,29,0.25998947866370725,0.35990008598543083,0.41379310344827586,0.23167308753934399,0.23167308753934399,156.41545193500505,3.040942035872361,12.361707757382083,52.98320515413205,78.65630171175188,35.363620687035265,40.12925998540595,1.0,0.17345793587787853
8,video_analog_4,analogico,232,260,7.741066666666667,8.675333333333333,29,0.3773739994161635,0.41008898321414083,0.1724137931034483,0.08538046993058303,0.08538046993058303,109.97497091275339,2.527699898029196,8.789754725277447,44.23367336342008,65.25374755375546,34.37376206596221,38.01237997831777,1.0,0.05396495393066174
9,video_analog_4,analogico,261,289,8.7087,9.642966666666666,29,0.27171764951726896,0.3616833683416346,0.5517241379310345,0.23428533097793316,0.23428533097793316,147.63857987992543,2.881776941233668,8.4154540725327,52.44865288972685,72.49274007258224,33.863034480700975,37.730039993766695,1.0,0.1769187093139247
10,video_analog_4,analogico,290,318,9.676333333333334,10.6106,29,0.15925770187901409,0.22966600723552763,0.41379310344827586,0.21622435594427175,0.21622435594427175,139.56737279161436,2.7000521380325844,11.617438007827982,84.6614764780697,123.66379976094927,33.49036206531435,36.92611998412758,1.0,0.17594989249707868
11,video_analog_4,analogico,319,347,10.643966666666667,11.578233333333333,29,0.4929509405996847,0.6066717750537709,0.3103448275862069,0.1278030070765265,0.1278030070765265,64.62685424623946,1.862252112092643,11.21450235954221,32.97806002877031,68.1550854018034,32.871913801123995,37.20030001131817,1.0,0.05527309038896127
12,video_analog_4,analogico,348,376,11.611600000000001,12.545866666666667,29,0.5358281895066745,0.5649885134321365,0.0,0.0,0.0,38.83697130277169,1.4919409977978673,12.279126412009512,21.05040064635401,110.99330688912009,33.51499310469833,37.030299997422844,1.0,0.0
