window_id,video_id,tipo,start_frame,end_frame,start_time_s,end_time_s,frames,D_video_mean,D_video_max,R_det_exp,R_det_conf,max_confidence_mean,blur_mean,noise_mean,temporal_instability_mean,contrast_mean,brightness_mean,latency_mean_ms,latency_p95_ms,R_latency,R_system_proxy
0,video_digital_1,digital,10,28,0.33366700033366703,0.9342676009342676,19,0.39791344829884845,0.4513807685547966,0.0,0.0,0.0,99.17089516726786,2.5337497560601485,7.62919065241228,22.109500193907273,118.07691314875731,44.39344736869986,47.65762998722492,1.0,0.0
1,video_digital_1,digital,29,57,0.9676343009676344,1.901901901901902,29,0.3460873109096474,0.4469866451176024,0.06896551724137931,0.04299805493190371,0.04299805493190371,179.29960147536252,3.0641715115514296,7.784436811542145,31.949523732928853,123.40899604885058,43.60096896436579,55.15785999596119,1.0,0.03363361171936728
2,video_digital_1,digital,58,86,1.9352686019352687,2.8695362028695364,29,0.16491608461552915,0.18639131945204945,0.27586206896551724,0.17920227502954417,0.17920227502954417,313.2171227603196,4.415045409367003,13.157754579741379,57.58157446156089,112.04055211326629,40.836520689732296,48.301499988883734,1.0,0.14826952916458094
3,video_digital_1,digital,87,115,2.902902902902903,3.8371705038371706,29,0.35536312035769657,0.5927196589265081,0.0,0.0,0.0,195.58018489326096,3.2692087025477967,15.209635416666666,36.05525997801771,105.06597326987549,41.12886207314722,46.40884001273662,1.0,0.0
4,video_digital_1,digital,116,144,3.8705372038705375,4.804804804804805,29,0.15720378188797035,0.26784985564398767,0.0,0.0,0.0,651.7738934013429,5.816787448422662,21.409419300766285,75.25855844286916,111.49689460608236,41.98925861695396,48.19920000154525,1.0,0.0
5,video_digital_1,digital,145,173,4.838171504838171,5.772439105772439,29,0.38587290026359183,0.7447640724512486,0.0,0.0,0.0,104.30395954169236,2.3375725705048134,26.047124491139847,50.031156563038834,92.86202661039273,44.746137922629714,57.27588003501294,1.0,0.0
6,video_digital_1,digital,174,202,5.805805805805806,6.740073406740073,29,0.17638150967141886,0.35431974824673396,0.0,0.0,0.0,369.86996902122644,4.625163185185399,14.617209201388889,54.30612574546529,124.40457285680077,46.17607586109882,51.757159968838096,1.0,0.0
7,video_digital_1,digital,203,231,6.773440106773441,7.707707707707708,29,0.21013980569488003,0.2670321858802267,0.0,0.0,0.0,222.1260802025754,3.634236787927562,9.922281938457855,40.31902490750523,116.8544436961207,50.08937929885398,60.64039999619126,1.0,0.0
8,video_digital_1,digital,232,260,7.741074407741075,8.675342008675342,29,0.24052372910213507,0.3199104160896622,0.13793103448275862,0.08477482507968771,0.08477482507968771,206.26716289335846,3.5430032878086486,8.783860302921456,39.262063494007855,132.90921485871647,40.632196549518866,44.11373998736963,1.0,0.06298336426852826
9,video_digital_1,digital,261,289,8.70870870870871,9.642976309642977,29,0.2513733948296229,0.3031881585112959,0.8620689655172413,0.5381408868164852,0.5381408868164852,273.81385408588864,4.19821180146316,14.077702646072797,29.28647234505348,114.21276715158046,40.15154828285349,42.02725999057293,1.0,0.40303194435658835
