window_id,video_id,tipo,start_frame,end_frame,start_time_s,end_time_s,frames,D_video_mean,D_video_max,R_det_exp,R_det_conf,max_confidence_mean,blur_mean,noise_mean,temporal_instability_mean,contrast_mean,brightness_mean,latency_mean_ms,latency_p95_ms,R_latency,R_system_proxy
0,video_digital_2,digital,10,28,0.33366666666666667,0.9342666666666667,19,0.14432636194973894,0.1631394880143646,0.2631578947368421,0.12927259269513583,0.12927259269513583,214.4166927982769,3.6172649232964766,6.610411412646198,55.050425498705046,133.33378792032164,42.761973681320484,44.39695999608375,1.0,0.11061186164344339
1,video_digital_2,digital,29,57,0.9676333333333333,1.9019,29,0.14243437052446334,0.16059557678666067,0.4827586206896552,0.2451512166138353,0.2451512166138353,239.0128600147993,3.5970644457586882,12.844497725095785,58.40633947002781,127.18075954861112,40.862158615270566,46.73528000712395,1.0,0.20938367841369213
2,video_digital_2,digital,58,86,1.9352666666666667,2.8695333333333335,29,0.1678170777103448,0.2057187768158913,0.8620689655172413,0.6498966237594341,0.6498966237594341,205.9975978027766,3.260417543608567,15.023987966954023,53.670906843551975,116.57713032806514,44.402634478093866,49.890440015587956,1.0,0.535828361442268
3,video_digital_2,digital,87,115,2.9029000000000003,3.8371666666666666,29,0.24588281724292632,0.38251582778471305,0.9310344827586207,0.7205215641136827,0.7205215641136827,179.5482574672902,3.047279349688826,18.785136943247124,46.21041577443895,117.0995788433908,43.820137920757304,50.94458000967278,1.0,0.5547533214221823
4,video_digital_2,digital,116,144,3.8705333333333334,4.8048,29,0.28437142065925564,0.36800473064803674,0.9655172413793104,0.7346877147411478,0.7346877147411478,130.98943265838753,2.5364248259314177,17.90627155172414,49.47518549343248,110.4308578783525,41.78599309545524,46.45422000903636,1.0,0.5297450996393024
5,video_digital_2,digital,145,173,4.838166666666667,5.772433333333334,29,0.3363405113778006,0.43029791882652535,0.034482758620689655,0.012112429429744852,0.012112429429744852,110.09774105872442,2.2384734359280816,22.589510147270115,51.37759676985501,102.92838511733716,43.50232758663659,46.71351999277249,1.0,0.007660653558633773
6,video_digital_2,digital,174,202,5.8058000000000005,6.740066666666666,29,0.3187564831607831,0.36117336994365173,0.034482758620689655,0.012153416872024536,0.012153416872024536,104.85178951320395,2.2336266821828383,14.681739553400384,50.176224925431654,131.7984240301724,42.37834827829923,45.81576001364738,1.0,0.00798084142667655
7,video_digital_2,digital,203,231,6.773433333333333,7.7077,29,0.30700747295695546,0.42080818487002414,0.0,0.0,0.0,346.2010150335118,4.670594774443527,19.286297144396553,41.195770018073055,55.93977460488506,42.00707586554425,46.4033400057815,1.0,0.0
8,video_digital_2,digital,232,260,7.741066666666667,8.675333333333333,29,0.2539034935952719,0.2856401053018003,0.4482758620689655,0.2725517061249963,0.2725517061249963,385.9075390131691,4.980827800158797,24.15940164032567,49.4571976342486,76.8718591355364,44.49634827625263,55.36381998099386,1.0,0.20444894287906085
9,video_digital_2,digital,261,289,8.7087,9.642966666666666,29,0.2235667236665483,0.24545722592299074,0.9655172413793104,0.695717553640234,0.695717553640234,418.44137876815375,5.108228280626494,18.82270174808429,50.725784804377724,91.79382962164752,42.92471034066944,45.51111996406689,1.0,0.5405461764247493
10,video_digital_2,digital,290,318,9.676333333333334,10.6106,29,0.18212046290519426,0.20165564807266,0.7241379310344828,0.49402400234649924,0.49402400234649924,348.36880968144703,4.687286738691659,15.531797623323754,60.0788962681298,96.67823814655172,43.7458724120696,49.000820028595626,1.0,0.4040642112780642
11,video_digital_2,digital,319,347,10.643966666666667,11.578233333333333,29,0.19581774433353716,0.27210165028371497,1.0,0.7365978206026143,0.7365978206026143,224.29288102145856,3.691540808513247,10.014261404454022,49.95272895550023,109.45801245210728,42.94239309142697,45.90168000431731,1.0,0.5919177177139024
12,video_digital_2,digital,348,376,11.611600000000001,12.545866666666667,29,0.25182245679238136,0.3548041167763487,1.0,0.7145274990591509,0.7145274990591509,165.9765767885334,3.1826095498841385,9.264787027059388,51.99008207504059,93.94993205220307,42.33452069155615,44.70345999579877,1.0,0.5393104203668477
13,video_digital_2,digital,377,405,12.579233333333333,13.5135,29,0.3170856378625644,0.3608612404974825,1.0,0.8035279615172024,0.8035279615172024,106.46998606389657,2.3847056175100394,4.869605034722222,51.03761008264381,98.87544330699232,41.72051724664674,44.22434001462534,1.0,0.5483309049425784
