video_id,tipo,frame_id,time_s,brightness,contrast,blur,noise,temporal_instability,D_video_obs,num_detections,detection_success,max_confidence,avg_confidence,R_det_frame,read_latency_ms,inference_latency_ms,total_latency_ms,latency_success,R_system_proxy,detected_classes
video_analog_5,analogico,10,0.4,77.71327256944444,60.65097690215816,431.3199087449815,5.043397426605225,6.0839236111111115,0.1874569784961903,0,0,0.0,0.0,0.0,0.34579995553940535,34.77520000888035,38.42080000322312,1,0.0,
video_analog_5,analogico,11,0.44,76.73220052083333,59.79472275524369,409.64064336252096,4.918410301208496,6.262061631944444,0.1905583826124943,0,0,0.0,0.0,0.0,0.5243000341579318,33.77290000207722,38.20340003585443,1,0.0,
video_analog_5,analogico,12,0.48,76.45461805555556,59.55981964232548,423.8755604552469,5.039433002471924,5.742139756944445,0.1913880664626962,0,0,0.0,0.0,0.0,0.3165999660268426,32.47999999439344,35.33779998542741,1,0.0,
video_analog_5,analogico,13,0.52,76.62446180555555,59.556732222385726,399.1915928457001,4.827371597290039,5.504383680555556,0.18933753614161175,0,0,0.0,0.0,0.0,0.3806999884545803,35.86970001924783,40.34990002401173,1,0.0,
video_analog_5,analogico,14,0.56,76.25630208333334,59.31082448639513,390.62747912326387,4.761676788330078,5.258177083333333,0.1895736559951227,0,0,0.0,0.0,0.0,0.3263000398874283,32.04829996684566,36.06489999219775,1,0.0,
video_analog_5,analogico,15,0.6,75.95022569444444,59.210429574823834,395.3202659305525,4.779407978057861,4.7351302083333335,0.18935808350978672,0,0,0.0,0.0,0.0,0.3350999904796481,32.51680004177615,35.916400025598705,1,0.0,
video_analog_5,analogico,16,0.64,75.44108940972222,58.85379588402961,414.66792731343963,4.940206527709961,4.745169270833333,0.1920668343496365,0,0,0.0,0.0,0.0,0.32979995012283325,35.09279998252168,39.117799955420196,1,0.0,
video_analog_5,analogico,17,0.68,75.36390625,58.94804300085033,445.51803572583606,5.174832344055176,5.2342317708333335,0.19436952488679424,0,0,0.0,0.0,0.0,0.3493999829515815,36.26119997352362,40.36799998721108,1,0.0,
video_analog_5,analogico,18,0.72,75.58856770833333,58.94166558742105,415.7849508155352,4.967817306518555,5.650017361111111,0.1935229362015082,0,0,0.0,0.0,0.0,0.35119999665766954,32.126399979460984,36.35889996076003,1,0.0,
video_analog_5,analogico,19,0.76,75.4603125,58.91875633882181,413.7770503279321,4.945855617523193,5.66375,0.19361861711584585,0,0,0.0,0.0,0.0,0.32430002465844154,30.48410004703328,33.27090002130717,1,0.0,
video_analog_5,analogico,20,0.8,75.5270529513889,59.05189974610412,421.6574052566904,4.997687816619873,5.6047960069444445,0.1933946984596476,0,0,0.0,0.0,0.0,0.2753000007942319,32.849199953489006,35.51560000050813,1,0.0,
video_analog_5,analogico,21,0.84,75.82750868055555,59.52848279694206,439.30065545398094,5.107436656951904,6.051184895833333,0.19324819337389285,0,0,0.0,0.0,0.0,0.31780003337189555,30.511799966916442,33.87879999354482,1,0.0,
