window_id,video_id,tipo,start_frame,end_frame,start_time_s,end_time_s,frames,D_video_mean,D_video_max,R_det_exp,R_det_conf,max_confidence_mean,blur_mean,noise_mean,temporal_instability_mean,contrast_mean,brightness_mean,latency_mean_ms,latency_p95_ms,R_latency,R_system_proxy
0,video_analog_5,analogico,10,24,0.4,0.96,15,0.19167178599672097,0.19436952488679424,0.0,0.0,0.0,423.6381787800441,5.0113598823547365,5.650028935185185,59.47803074566778,76.10620399305556,36.59666000166908,40.355330012971535,1.0,0.0
1,video_analog_5,analogico,25,49,1.0,1.96,25,0.18801204588282638,0.19225642787058086,0.32,0.13438345432281495,0.13438345432281495,490.51807919739224,5.513394203186035,6.193864236111112,62.183444882150944,76.35829027777778,38.40083200018853,44.48305999394506,1.0,0.10915106995900643
2,video_analog_5,analogico,50,74,2.0,2.96,25,0.20482699679998195,0.21210266086535667,0.32,0.12216506838798523,0.12216506838798523,361.4056613326235,4.664462451934814,5.705369965277778,57.44709472689783,67.97899565972222,36.15808400325477,39.652280043810606,1.0,0.0975519086116448
3,video_analog_5,analogico,75,99,3.0,3.96,25,0.20063900697725434,0.208282927750388,0.0,0.0,0.0,374.67132671895195,4.700578899383545,7.714365104166667,57.94999907475942,73.72394375,36.181379994377494,39.024139975663275,1.0,0.0
4,video_analog_5,analogico,100,124,4.0,4.96,25,0.19451985331788407,0.21416720424982186,0.4,0.18164486289024354,0.18164486289024354,594.607196962486,6.1258815574645995,9.102397222222223,62.41639460619882,78.36715503472222,35.83774400409311,41.77070001605897,1.0,0.1453677508221106
5,video_analog_5,analogico,125,149,5.0,5.96,25,0.21301068235334167,0.221773725804302,0.6,0.2608228397369385,0.2608228397369385,754.8646574745673,6.936194114685058,8.886480729166667,59.83312592285299,73.17125711805555,35.58189199771732,37.67861999804154,1.0,0.20423486059963114
6,video_analog_5,analogico,150,174,6.0,6.96,25,0.20441704655668944,0.2156604511803657,0.16,0.07053130507469177,0.07053130507469177,473.9792512375993,5.402270450592041,6.489909548611112,58.11716399667238,72.13141423611111,34.622652002144605,37.149759964086115,1.0,0.05555970182429457
7,video_analog_5,analogico,175,199,7.0,7.96,25,0.20010234833779797,0.20881236916468202,0.84,0.374472473859787,0.374472473859787,373.16873844114025,4.644476203918457,3.940362152777778,56.76062913373955,70.73584097222222,34.947112009394914,37.14854002464563,1.0,0.29974993062123
8,video_analog_5,analogico,200,224,8.0,8.96,25,0.19710834601679983,0.20908217371487037,0.0,0.0,0.0,382.86462068359907,4.6609046745300295,6.512335069444444,58.16256707425814,74.06821302083334,34.78366800583899,38.019379996694624,1.0,0.0
9,video_analog_5,analogico,225,249,9.0,9.96,25,0.19283554316040946,0.20285122568272218,0.28,0.12518476366996764,0.12518476366996764,470.0467652662353,5.223806552886963,6.727264756944444,59.62595800951094,77.67846753472222,35.899787994567305,39.58025999600068,1.0,0.10107115212350413
10,video_analog_5,analogico,250,274,10.0,10.96,25,0.18881595385065864,0.19550565549737553,0.16,0.0667344069480896,0.0667344069480896,538.7659434897846,5.753410167694092,7.864360243055555,62.966065685904034,77.79676145833334,35.08303600130603,39.55521996831521,1.0,0.054244373005520916
11,video_analog_5,analogico,275,299,11.0,11.96,25,0.2005879091638608,0.2106237139309692,0.0,0.0,0.0,478.65789756628413,5.635636940002441,6.891833854166666,60.934865662343455,70.50616822916668,34.80586800491437,39.58181998459622,1.0,0.0
12,video_analog_5,analogico,300,324,12.0,12.96,25,0.20533833894221945,0.2155876795278867,0.24,0.09432872533798217,0.09432872533798217,390.40234776989143,4.999844303131104,6.581202777777778,57.69605272315818,70.23609826388889,34.48155599879101,38.018979982007295,1.0,0.07521210759863219
13,video_analog_5,analogico,325,349,13.0,13.96,25,0.20138840049285206,0.20757118211563685,0.04,0.01590691924095154,0.01590691924095154,508.33979851304116,5.723351230621338,6.140525173611111,58.488086449526016,75.067578125,35.0345480046235,38.48629998974502,1.0,0.012670856477985007
14,video_analog_5,analogico,350,374,14.0,14.96,25,0.20364315613239764,0.21936726980604365,0.28,0.13005253076553344,0.13005253076553344,618.6567709856672,6.289837837219238,8.126621354166666,60.280348961367125,75.1738298611111,35.57839999208227,38.54724003467709,1.0,0.10325696068984438
