time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.612,0.1556,0.1961,0.3524,0.0676,0.2692,0.2082,0.0335,18,25,0.72
1.0,1,0.4926,0.235,0.235,0.235,0.235,0.235,0.235,0.0306,17,25,0.68
2.0,2,0.41,0.2654,0.2654,0.2654,0.2654,0.2654,0.2654,0.0305,21,25,0.84
3.0,3,0.6917,0.197,0.197,0.197,0.197,0.197,0.197,0.0309,25,25,1.0
4.0,4,0.6167,0.1924,0.1924,0.1924,0.1924,0.1924,0.1924,0.0307,23,25,0.92
5.0,5,0.7089,0.2151,0.2151,0.2151,0.2151,0.2151,0.2151,0.0317,25,25,1.0
6.0,6,0.81,0.2332,0.2332,0.2332,0.2332,0.2332,0.2332,0.0301,25,25,1.0
7.0,7,0.67,0.212,0.212,0.212,0.212,0.212,0.212,0.0334,25,25,1.0
8.0,8,0.78,0.2415,0.2415,0.2415,0.2415,0.2415,0.2415,0.0311,25,25,1.0
9.0,9,0.8177,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.0312,25,25,1.0
10.0,10,0.8206,0.2971,0.2971,0.2971,0.2971,0.2971,0.2971,0.0304,25,25,1.0
11.0,11,0.6967,0.3716,0.3716,0.3716,0.3716,0.3716,0.3716,0.0308,17,25,0.68
12.0,12,0.8819,0.2599,0.2599,0.2599,0.2599,0.2599,0.2599,0.0302,25,25,1.0
13.0,13,0.8517,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.0321,25,25,1.0
14.0,14,0.7796,0.1842,0.1842,0.1842,0.1842,0.1842,0.1842,0.0322,25,25,1.0
15.0,15,0.8641,0.132,0.132,0.132,0.132,0.132,0.132,0.0333,25,25,1.0
16.0,16,0.8479,0.1538,0.1538,0.1538,0.1538,0.1538,0.1538,0.0319,22,25,0.88
17.0,17,0.594,0.2649,0.2649,0.2649,0.2649,0.2649,0.2649,0.031,2,25,0.08
18.0,18,0.8499,0.1939,0.1939,0.1939,0.1939,0.1939,0.1939,0.0309,24,25,0.96
19.0,19,0.7704,0.2014,0.2014,0.2014,0.2014,0.2014,0.2014,0.0307,25,25,1.0
20.0,20,0.5193,0.2389,0.2389,0.2389,0.2389,0.2389,0.2389,0.0306,15,25,0.6
21.0,21,0.704,0.2388,0.2388,0.2388,0.2388,0.2388,0.2388,0.0314,24,25,0.96
22.0,22,0.7503,0.2177,0.2177,0.2177,0.2177,0.2177,0.2177,0.0304,25,25,1.0
23.0,23,0.8107,0.142,0.142,0.142,0.142,0.142,0.142,0.0313,25,25,1.0
24.0,24,0.8541,0.1623,0.1623,0.1623,0.1623,0.1623,0.1623,0.0315,25,25,1.0
25.0,25,0.8485,0.1609,0.1609,0.1609,0.1609,0.1609,0.1609,0.0315,25,25,1.0
26.0,26,0.7014,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.031,25,25,1.0
27.0,27,0.7194,0.174,0.174,0.174,0.174,0.174,0.174,0.031,25,25,1.0
28.0,28,0.608,0.2004,0.2004,0.2004,0.2004,0.2004,0.2004,0.0305,25,25,1.0
29.0,29,0.6314,0.2184,0.2184,0.2184,0.2184,0.2184,0.2184,0.0304,25,25,1.0
30.0,30,0.7349,0.1688,0.1688,0.1688,0.1688,0.1688,0.1688,0.0311,25,25,1.0
31.0,31,0.7255,0.1996,0.1996,0.1996,0.1996,0.1996,0.1996,0.0309,25,25,1.0
32.0,32,0.6829,0.2209,0.2209,0.2209,0.2209,0.2209,0.2209,0.0317,25,25,1.0
33.0,33,0.4714,0.166,0.166,0.166,0.166,0.166,0.166,0.0306,14,25,0.56
34.0,34,0.4445,0.1486,0.1486,0.1486,0.1486,0.1486,0.1486,0.0322,25,25,1.0
35.0,35,0.4427,0.2135,0.2135,0.2135,0.2135,0.2135,0.2135,0.0313,22,25,0.88
36.0,36,0.6636,0.3175,0.3175,0.3175,0.3175,0.3175,0.3175,0.0337,25,25,1.0
37.0,37,0.7952,0.2667,0.2667,0.2667,0.2667,0.2667,0.2667,0.0315,25,25,1.0
38.0,38,0.7926,0.2602,0.2602,0.2602,0.2602,0.2602,0.2602,0.0307,25,25,1.0
39.0,39,0.6221,0.1883,0.1883,0.1883,0.1883,0.1883,0.1883,0.0349,25,25,1.0
40.0,40,0.5288,0.1486,0.1486,0.1486,0.1486,0.1486,0.1486,0.0319,24,25,0.96
41.0,41,0.5686,0.182,0.182,0.182,0.182,0.182,0.182,0.0336,25,25,1.0
42.0,42,0.6806,0.2167,0.2167,0.2167,0.2167,0.2167,0.2167,0.0341,25,25,1.0
43.0,43,0.7168,0.2211,0.2211,0.2211,0.2211,0.2211,0.2211,0.032,25,25,1.0
44.0,44,0.734,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.032,25,25,1.0
45.0,45,0.6815,0.2137,0.2137,0.2137,0.2137,0.2137,0.2137,0.0344,25,25,1.0
46.0,46,0.7392,0.25,0.25,0.25,0.25,0.25,0.25,0.032,25,25,1.0
47.0,47,0.683,0.2221,0.2221,0.2221,0.2221,0.2221,0.2221,0.0318,25,25,1.0
48.0,48,0.688,0.2035,0.2035,0.2035,0.2035,0.2035,0.2035,0.0316,25,25,1.0
49.0,49,0.7568,0.2091,0.2091,0.2091,0.2091,0.2091,0.2091,0.0338,25,25,1.0
50.0,50,0.8082,0.208,0.208,0.208,0.208,0.208,0.208,0.0345,25,25,1.0
51.0,51,0.736,0.1805,0.1805,0.1805,0.1805,0.1805,0.1805,0.032,25,25,1.0
52.0,52,0.7197,0.2018,0.2018,0.2018,0.2018,0.2018,0.2018,0.0317,25,25,1.0
53.0,53,0.8489,0.2109,0.2109,0.2109,0.2109,0.2109,0.2109,0.0311,25,25,1.0
