time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.7128,0.9544,0.0264,0.2369,0.3477,0.0583,0.3247,0.0413,30,30,1.0
1.0,1,0.7128,0.3178,0.3178,0.3178,0.3178,0.3178,0.3178,0.0344,30,30,1.0
2.0,2,0.7965,0.317,0.317,0.317,0.317,0.317,0.317,0.0354,30,30,1.0
3.0,3,0.6097,0.3103,0.3103,0.3103,0.3103,0.3103,0.3103,0.0358,27,30,0.9
4.0,4,0.3364,0.2699,0.2699,0.2699,0.2699,0.2699,0.2699,0.0327,20,30,0.6667
5.0,5,0.0,0.299,0.299,0.299,0.299,0.299,0.299,0.0323,0,30,0.0
6.0,6,0.0,0.3489,0.3489,0.3489,0.3489,0.3489,0.3489,0.0343,0,30,0.0
7.0,7,0.0,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.0332,0,30,0.0
8.0,8,0.0,0.3205,0.3205,0.3205,0.3205,0.3205,0.3205,0.0346,0,30,0.0
9.0,9,0.0,0.3291,0.3291,0.3291,0.3291,0.3291,0.3291,0.0335,0,30,0.0
10.0,10,0.0,0.3116,0.3116,0.3116,0.3116,0.3116,0.3116,0.0323,0,30,0.0
11.0,11,0.5561,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,0.0357,1,30,0.0333
12.0,12,0.7526,0.2909,0.2909,0.2909,0.2909,0.2909,0.2909,0.0401,22,30,0.7333
13.0,13,0.3998,0.303,0.303,0.303,0.303,0.303,0.303,0.0346,25,30,0.8333
14.0,14,0.6086,0.2994,0.2994,0.2994,0.2994,0.2994,0.2994,0.0351,22,30,0.7333
15.0,15,0.0,0.3339,0.3339,0.3339,0.3339,0.3339,0.3339,0.0347,0,30,0.0
16.0,16,0.0,0.2829,0.2829,0.2829,0.2829,0.2829,0.2829,0.036,0,30,0.0
17.0,17,0.0,0.3361,0.3361,0.3361,0.3361,0.3361,0.3361,0.0362,0,30,0.0
18.0,18,0.5115,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.0376,11,30,0.3667
19.0,19,0.4298,0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.0407,21,30,0.7
20.0,20,0.0,0.2687,0.2687,0.2687,0.2687,0.2687,0.2687,0.0404,0,30,0.0
21.0,21,0.3815,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.0394,1,30,0.0333
22.0,22,0.731,0.2982,0.2982,0.2982,0.2982,0.2982,0.2982,0.0395,10,30,0.3333
