time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.4437,0.5941,0.124,0.3181,0.0632,0.2011,0.2601,0.0384,9,29,0.3103
1.0,1,0.4635,0.2727,0.2727,0.2727,0.2727,0.2727,0.2727,0.0341,17,29,0.5862
2.0,2,0.7192,0.3217,0.3217,0.3217,0.3217,0.3217,0.3217,0.0333,26,29,0.8966
3.0,3,0.7558,0.3748,0.3748,0.3748,0.3748,0.3748,0.3748,0.034,28,29,0.9655
4.0,4,0.7447,0.3856,0.3856,0.3856,0.3856,0.3856,0.3856,0.0341,29,29,1.0
5.0,5,0.2934,0.4289,0.4289,0.4289,0.4289,0.4289,0.4289,0.0349,3,29,0.1034
6.0,6,0.3181,0.359,0.359,0.359,0.359,0.359,0.359,0.0344,2,29,0.069
7.0,7,0.0,0.4252,0.4252,0.4252,0.4252,0.4252,0.4252,0.0341,0,29,0.0
8.0,8,0.5406,0.4096,0.4096,0.4096,0.4096,0.4096,0.4096,0.034,14,29,0.4828
9.0,9,0.6801,0.3483,0.3483,0.3483,0.3483,0.3483,0.3483,0.0368,29,29,1.0
10.0,10,0.6485,0.2963,0.2963,0.2963,0.2963,0.2963,0.2963,0.0377,22,29,0.7586
11.0,11,0.7209,0.3047,0.3047,0.3047,0.3047,0.3047,0.3047,0.0379,29,29,1.0
12.0,12,0.6685,0.3337,0.3337,0.3337,0.3337,0.3337,0.3337,0.0389,29,29,1.0
13.0,13,0.7681,0.319,0.319,0.319,0.319,0.319,0.319,0.0347,29,29,1.0
14.0,14,0.6249,0.3871,0.3871,0.3871,0.3871,0.3871,0.3871,0.0343,19,29,0.6552
15.0,15,0.6628,0.4033,0.4033,0.4033,0.4033,0.4033,0.4033,0.0352,12,29,0.4138
16.0,16,0.6713,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.0333,29,29,1.0
17.0,17,0.7244,0.3099,0.3099,0.3099,0.3099,0.3099,0.3099,0.0376,29,29,1.0
18.0,18,0.5027,0.3688,0.3688,0.3688,0.3688,0.3688,0.3688,0.0381,20,29,0.6897
19.0,19,0.5966,0.3449,0.3449,0.3449,0.3449,0.3449,0.3449,0.0356,23,29,0.7931
20.0,20,0.5929,0.3975,0.3975,0.3975,0.3975,0.3975,0.3975,0.0353,18,29,0.6207
21.0,21,0.2785,0.4404,0.4404,0.4404,0.4404,0.4404,0.4404,0.0353,2,29,0.069
22.0,22,0.5119,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.0362,24,29,0.8276
23.0,23,0.5663,0.4412,0.4412,0.4412,0.4412,0.4412,0.4412,0.0369,27,29,0.931
24.0,24,0.5974,0.4558,0.4558,0.4558,0.4558,0.4558,0.4558,0.0409,29,29,1.0
25.0,25,0.5767,0.4481,0.4481,0.4481,0.4481,0.4481,0.4481,0.043,20,29,0.6897
26.0,26,0.3218,0.4313,0.4313,0.4313,0.4313,0.4313,0.4313,0.0379,8,29,0.2759
27.0,27,0.6629,0.386,0.386,0.386,0.386,0.386,0.386,0.0366,21,29,0.7241
28.0,28,0.6949,0.289,0.289,0.289,0.289,0.289,0.289,0.0364,27,29,0.931
29.0,29,0.3345,0.364,0.364,0.364,0.364,0.364,0.364,0.0368,4,29,0.1379
30.0,30,0.0,0.4311,0.4311,0.4311,0.4311,0.4311,0.4311,0.0365,0,29,0.0
31.0,31,0.4898,0.447,0.447,0.447,0.447,0.447,0.447,0.035,1,29,0.0345
32.0,32,0.582,0.4631,0.4631,0.4631,0.4631,0.4631,0.4631,0.0364,17,29,0.5862
33.0,33,0.5734,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.0363,16,29,0.5517
34.0,34,0.7935,0.4833,0.4833,0.4833,0.4833,0.4833,0.4833,0.0364,29,29,1.0
35.0,35,0.7036,0.4319,0.4319,0.4319,0.4319,0.4319,0.4319,0.0349,29,29,1.0
36.0,36,0.5785,0.382,0.382,0.382,0.382,0.382,0.382,0.0345,20,29,0.6897
37.0,37,0.6306,0.3584,0.3584,0.3584,0.3584,0.3584,0.3584,0.0348,29,29,1.0
38.0,38,0.5755,0.3453,0.3453,0.3453,0.3453,0.3453,0.3453,0.0358,7,29,0.2414
39.0,39,0.3556,0.4269,0.4269,0.4269,0.4269,0.4269,0.4269,0.036,4,29,0.1379
40.0,40,0.38,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.0355,5,29,0.1724
41.0,41,0.4779,0.3394,0.3394,0.3394,0.3394,0.3394,0.3394,0.0346,15,29,0.5172
42.0,42,0.6122,0.3213,0.3213,0.3213,0.3213,0.3213,0.3213,0.0352,29,29,1.0
43.0,43,0.8523,0.321,0.321,0.321,0.321,0.321,0.321,0.0373,29,29,1.0
44.0,44,0.8843,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.0373,29,29,1.0
45.0,45,0.7831,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.0357,29,29,1.0
46.0,46,0.8977,0.3849,0.3849,0.3849,0.3849,0.3849,0.3849,0.0369,29,29,1.0
47.0,47,0.715,0.4112,0.4112,0.4112,0.4112,0.4112,0.4112,0.0356,29,29,1.0
48.0,48,0.791,0.3815,0.3815,0.3815,0.3815,0.3815,0.3815,0.0353,29,29,1.0
49.0,49,0.699,0.3218,0.3218,0.3218,0.3218,0.3218,0.3218,0.041,29,29,1.0
50.0,50,0.774,0.2942,0.2942,0.2942,0.2942,0.2942,0.2942,0.0436,27,29,0.931
51.0,51,0.6519,0.3164,0.3164,0.3164,0.3164,0.3164,0.3164,0.0373,13,29,0.4483
52.0,52,0.8177,0.3706,0.3706,0.3706,0.3706,0.3706,0.3706,0.0366,29,29,1.0
53.0,53,0.7902,0.3714,0.3714,0.3714,0.3714,0.3714,0.3714,0.0355,29,29,1.0
54.0,54,0.8545,0.376,0.376,0.376,0.376,0.376,0.376,0.0358,29,29,1.0
55.0,55,0.8989,0.3493,0.3493,0.3493,0.3493,0.3493,0.3493,0.0381,29,29,1.0
56.0,56,0.8883,0.3914,0.3914,0.3914,0.3914,0.3914,0.3914,0.0362,29,29,1.0
57.0,57,0.7704,0.4356,0.4356,0.4356,0.4356,0.4356,0.4356,0.0351,29,29,1.0
58.0,58,0.7576,0.2559,0.2559,0.2559,0.2559,0.2559,0.2559,0.0353,29,29,1.0
