time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.2927,0.1191,0.1567,0.2417,0.3965,0.205,0.2238,0.0386,6,25,0.24
1.0,1,0.3545,0.2076,0.2076,0.2076,0.2076,0.2076,0.2076,0.0346,17,25,0.68
2.0,2,0.3614,0.2674,0.2674,0.2674,0.2674,0.2674,0.2674,0.0366,12,25,0.48
3.0,3,0.2627,0.269,0.269,0.269,0.269,0.269,0.269,0.0363,1,25,0.04
4.0,4,0.3676,0.2248,0.2248,0.2248,0.2248,0.2248,0.2248,0.0372,22,25,0.88
5.0,5,0.4048,0.2412,0.2412,0.2412,0.2412,0.2412,0.2412,0.034,20,25,0.8
6.0,6,0.3364,0.2374,0.2374,0.2374,0.2374,0.2374,0.2374,0.0417,14,25,0.56
7.0,7,0.4257,0.2486,0.2486,0.2486,0.2486,0.2486,0.2486,0.0574,24,25,0.96
8.0,8,0.3036,0.2557,0.2557,0.2557,0.2557,0.2557,0.2557,0.056,3,25,0.12
9.0,9,0.3809,0.227,0.227,0.227,0.227,0.227,0.227,0.0574,14,25,0.56
10.0,10,0.3357,0.2108,0.2108,0.2108,0.2108,0.2108,0.2108,0.0579,12,25,0.48
11.0,11,0.2896,0.2318,0.2318,0.2318,0.2318,0.2318,0.2318,0.0562,6,25,0.24
12.0,12,0.3334,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.0576,17,25,0.68
13.0,13,0.3399,0.2202,0.2202,0.2202,0.2202,0.2202,0.2202,0.0575,4,25,0.16
14.0,14,0.3859,0.2281,0.2281,0.2281,0.2281,0.2281,0.2281,0.0579,13,25,0.52
15.0,15,0.3702,0.2472,0.2472,0.2472,0.2472,0.2472,0.2472,0.0582,18,25,0.72
16.0,16,0.3349,0.2421,0.2421,0.2421,0.2421,0.2421,0.2421,0.0594,9,25,0.36
17.0,17,0.3541,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.0571,15,25,0.6
18.0,18,0.3123,0.2444,0.2444,0.2444,0.2444,0.2444,0.2444,0.0383,20,25,0.8
19.0,19,0.4871,0.2141,0.2141,0.2141,0.2141,0.2141,0.2141,0.0364,15,25,0.6
20.0,20,0.4242,0.1906,0.1906,0.1906,0.1906,0.1906,0.1906,0.0346,19,25,0.76
21.0,21,0.3363,0.1793,0.1793,0.1793,0.1793,0.1793,0.1793,0.0342,8,25,0.32
22.0,22,0.3487,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.0365,7,25,0.28
23.0,23,0.3079,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.0358,3,25,0.12
24.0,24,0.4104,0.1872,0.1872,0.1872,0.1872,0.1872,0.1872,0.0361,15,25,0.6
25.0,25,0.44,0.1959,0.1959,0.1959,0.1959,0.1959,0.1959,0.0342,24,25,0.96
26.0,26,0.4069,0.1683,0.1683,0.1683,0.1683,0.1683,0.1683,0.0348,18,25,0.72
27.0,27,0.4213,0.158,0.158,0.158,0.158,0.158,0.158,0.0362,22,25,0.88
28.0,28,0.3037,0.1686,0.1686,0.1686,0.1686,0.1686,0.1686,0.0377,4,25,0.16
29.0,29,0.3826,0.1483,0.1483,0.1483,0.1483,0.1483,0.1483,0.0344,21,25,0.84
30.0,30,0.4718,0.1579,0.1579,0.1579,0.1579,0.1579,0.1579,0.0351,25,25,1.0
31.0,31,0.4125,0.1504,0.1504,0.1504,0.1504,0.1504,0.1504,0.0357,25,25,1.0
32.0,32,0.3893,0.1579,0.1579,0.1579,0.1579,0.1579,0.1579,0.0343,21,25,0.84
33.0,33,0.4128,0.1682,0.1682,0.1682,0.1682,0.1682,0.1682,0.0345,24,25,0.96
34.0,34,0.5438,0.1715,0.1715,0.1715,0.1715,0.1715,0.1715,0.037,25,25,1.0
35.0,35,0.5858,0.1852,0.1852,0.1852,0.1852,0.1852,0.1852,0.0357,25,25,1.0
36.0,36,0.6001,0.1874,0.1874,0.1874,0.1874,0.1874,0.1874,0.0375,25,25,1.0
37.0,37,0.6482,0.1822,0.1822,0.1822,0.1822,0.1822,0.1822,0.0351,25,25,1.0
38.0,38,0.6927,0.1806,0.1806,0.1806,0.1806,0.1806,0.1806,0.0349,25,25,1.0
39.0,39,0.6505,0.189,0.189,0.189,0.189,0.189,0.189,0.034,25,25,1.0
40.0,40,0.6216,0.1848,0.1848,0.1848,0.1848,0.1848,0.1848,0.0346,5,25,0.2
41.0,41,0.0,0.3327,0.3327,0.3327,0.3327,0.3327,0.3327,0.0354,0,25,0.0
