time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.0,0.7978,0.0979,0.6953,0.1565,0.2575,0.401,0.0356,0,29,0.0
1.0,1,0.469,0.3359,0.3359,0.3359,0.3359,0.3359,0.3359,0.0344,4,29,0.1379
2.0,2,0.545,0.2737,0.2737,0.2737,0.2737,0.2737,0.2737,0.0356,11,29,0.3793
3.0,3,0.0,0.3942,0.3942,0.3942,0.3942,0.3942,0.3942,0.035,0,29,0.0
4.0,4,0.0,0.2647,0.2647,0.2647,0.2647,0.2647,0.2647,0.0337,0,29,0.0
5.0,5,0.3208,0.4194,0.4194,0.4194,0.4194,0.4194,0.4194,0.0345,1,29,0.0345
6.0,6,0.0,0.2561,0.2561,0.2561,0.2561,0.2561,0.2561,0.0344,0,29,0.0
7.0,7,0.0,0.3235,0.3235,0.3235,0.3235,0.3235,0.3235,0.0333,0,29,0.0
8.0,8,0.6146,0.3214,0.3214,0.3214,0.3214,0.3214,0.3214,0.0345,4,29,0.1379
9.0,9,0.5618,0.3704,0.3704,0.3704,0.3704,0.3704,0.3704,0.0343,27,29,0.931
10.0,10,0.5809,0.3879,0.3879,0.3879,0.3879,0.3879,0.3879,0.0351,10,29,0.3448
11.0,11,0.5252,0.2852,0.2852,0.2852,0.2852,0.2852,0.2852,0.0348,17,29,0.5862
12.0,12,0.4542,0.2886,0.2886,0.2886,0.2886,0.2886,0.2886,0.0359,14,29,0.4828
13.0,13,0.0,0.3835,0.3835,0.3835,0.3835,0.3835,0.3835,0.0394,0,29,0.0
14.0,14,0.6369,0.3476,0.3476,0.3476,0.3476,0.3476,0.3476,0.0363,27,29,0.931
15.0,15,0.4079,0.2736,0.2736,0.2736,0.2736,0.2736,0.2736,0.0339,25,29,0.8621
16.0,16,0.5573,0.2758,0.2758,0.2758,0.2758,0.2758,0.2758,0.0354,28,29,0.9655
17.0,17,0.4212,0.2676,0.2676,0.2676,0.2676,0.2676,0.2676,0.0354,28,29,0.9655
18.0,18,0.6366,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.0369,12,29,0.4138
19.0,19,0.0,0.3807,0.3807,0.3807,0.3807,0.3807,0.3807,0.0359,0,29,0.0
20.0,20,0.0,0.3673,0.3673,0.3673,0.3673,0.3673,0.3673,0.0361,0,29,0.0
21.0,21,0.3052,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.0365,1,29,0.0345
22.0,22,0.0,0.1803,0.1803,0.1803,0.1803,0.1803,0.1803,0.0372,0,29,0.0
23.0,23,0.0,0.2841,0.2841,0.2841,0.2841,0.2841,0.2841,0.0353,0,29,0.0
24.0,24,0.0,0.31,0.31,0.31,0.31,0.31,0.31,0.0347,0,29,0.0
25.0,25,0.0,0.3324,0.3324,0.3324,0.3324,0.3324,0.3324,0.0347,0,29,0.0
26.0,26,0.6228,0.372,0.372,0.372,0.372,0.372,0.372,0.0355,5,29,0.1724
27.0,27,0.7376,0.3445,0.3445,0.3445,0.3445,0.3445,0.3445,0.0351,29,29,1.0
28.0,28,0.5918,0.367,0.367,0.367,0.367,0.367,0.367,0.0367,13,29,0.4483
29.0,29,0.4369,0.382,0.382,0.382,0.382,0.382,0.382,0.035,8,29,0.2759
30.0,30,0.4895,0.3441,0.3441,0.3441,0.3441,0.3441,0.3441,0.0347,16,29,0.5517
31.0,31,0.4295,0.3066,0.3066,0.3066,0.3066,0.3066,0.3066,0.035,5,29,0.1724
32.0,32,0.0,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.0343,0,29,0.0
33.0,33,0.0,0.3091,0.3091,0.3091,0.3091,0.3091,0.3091,0.0344,0,29,0.0
34.0,34,0.0,0.2998,0.2998,0.2998,0.2998,0.2998,0.2998,0.0344,0,29,0.0
35.0,35,0.7435,0.342,0.342,0.342,0.342,0.342,0.342,0.0342,27,29,0.931
36.0,36,0.7576,0.256,0.256,0.256,0.256,0.256,0.256,0.035,29,29,1.0
37.0,37,0.7391,0.1885,0.1885,0.1885,0.1885,0.1885,0.1885,0.0369,29,29,1.0
38.0,38,0.562,0.3063,0.3063,0.3063,0.3063,0.3063,0.3063,0.0355,21,29,0.7241
39.0,39,0.257,0.5192,0.5192,0.5192,0.5192,0.5192,0.5192,0.0352,1,29,0.0345
