time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
25.0,25,0.4082,0.2865,0.2865,0.2865,0.2865,0.2865,0.2865,0.0547,1,30,0.0333
26.0,26,0.0,0.2582,0.2582,0.2582,0.2582,0.2582,0.2582,0.0554,0,30,0.0
27.0,27,0.0,0.2662,0.2662,0.2662,0.2662,0.2662,0.2662,0.0546,0,30,0.0
28.0,28,0.3267,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.0551,4,30,0.1333
29.0,29,0.5332,0.3271,0.3271,0.3271,0.3271,0.3271,0.3271,0.0544,2,30,0.0667
30.0,30,0.0,0.442,0.442,0.442,0.442,0.442,0.442,0.0539,0,30,0.0
31.0,31,0.0,0.4272,0.4272,0.4272,0.4272,0.4272,0.4272,0.055,0,30,0.0
32.0,32,0.0,0.3568,0.3568,0.3568,0.3568,0.3568,0.3568,0.0548,0,30,0.0
33.0,33,0.2611,0.4795,0.4795,0.4795,0.4795,0.4795,0.4795,0.0546,1,30,0.0333
34.0,34,0.0,0.4604,0.4604,0.4604,0.4604,0.4604,0.4604,0.0553,0,30,0.0
35.0,35,0.0,0.3417,0.3417,0.3417,0.3417,0.3417,0.3417,0.0544,0,30,0.0
36.0,36,0.3234,0.2882,0.2882,0.2882,0.2882,0.2882,0.2882,0.0548,1,30,0.0333
37.0,37,0.3758,0.307,0.307,0.307,0.307,0.307,0.307,0.0585,3,30,0.1
38.0,38,0.0,0.2773,0.2773,0.2773,0.2773,0.2773,0.2773,0.0559,0,30,0.0
39.0,39,0.0,0.343,0.343,0.343,0.343,0.343,0.343,0.057,0,30,0.0
40.0,40,0.0,0.2902,0.2902,0.2902,0.2902,0.2902,0.2902,0.0549,0,30,0.0
41.0,41,0.0,0.2909,0.2909,0.2909,0.2909,0.2909,0.2909,0.0544,0,30,0.0
42.0,42,0.0,0.3165,0.3165,0.3165,0.3165,0.3165,0.3165,0.0545,0,30,0.0
43.0,43,0.368,0.3258,0.3258,0.3258,0.3258,0.3258,0.3258,0.0553,1,30,0.0333
44.0,44,0.37,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689,0.0552,4,30,0.1333
45.0,45,0.3014,0.2971,0.2971,0.2971,0.2971,0.2971,0.2971,0.0553,9,30,0.3
46.0,46,0.3135,0.2838,0.2838,0.2838,0.2838,0.2838,0.2838,0.0572,10,30,0.3333
47.0,47,0.3179,0.2782,0.2782,0.2782,0.2782,0.2782,0.2782,0.0574,9,30,0.3
48.0,48,0.3932,0.3201,0.3201,0.3201,0.3201,0.3201,0.3201,0.0565,14,30,0.4667
49.0,49,0.324,0.3138,0.3138,0.3138,0.3138,0.3138,0.3138,0.0555,10,30,0.3333
50.0,50,0.2534,0.3255,0.3255,0.3255,0.3255,0.3255,0.3255,0.0552,1,30,0.0333
51.0,51,0.4468,0.2832,0.2832,0.2832,0.2832,0.2832,0.2832,0.0569,15,30,0.5
52.0,52,0.4931,0.2959,0.2959,0.2959,0.2959,0.2959,0.2959,0.0556,16,30,0.5333
53.0,53,0.5482,0.3398,0.3398,0.3398,0.3398,0.3398,0.3398,0.056,26,30,0.8667
54.0,54,0.4578,0.4783,0.4783,0.4783,0.4783,0.4783,0.4783,0.0552,6,30,0.2
