time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.3164,0.0,0.3674,0.5797,0.2839,0.576,0.3614,0.0471,5,30,0.1667
1.0,1,0.4289,0.3207,0.3207,0.3207,0.3207,0.3207,0.3207,0.0487,18,30,0.6
2.0,2,0.4411,0.316,0.316,0.316,0.316,0.316,0.316,0.0505,4,30,0.1333
3.0,3,0.2715,0.3354,0.3354,0.3354,0.3354,0.3354,0.3354,0.0576,1,30,0.0333
4.0,4,0.3965,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806,0.0563,2,30,0.0667
5.0,5,0.3224,0.3319,0.3319,0.3319,0.3319,0.3319,0.3319,0.0554,4,30,0.1333
6.0,6,0.3823,0.3228,0.3228,0.3228,0.3228,0.3228,0.3228,0.0537,7,30,0.2333
7.0,7,0.3558,0.3502,0.3502,0.3502,0.3502,0.3502,0.3502,0.0525,2,30,0.0667
8.0,8,0.0,0.4002,0.4002,0.4002,0.4002,0.4002,0.4002,0.058,0,30,0.0
9.0,9,0.0,0.4246,0.4246,0.4246,0.4246,0.4246,0.4246,0.0554,0,30,0.0
10.0,10,0.0,0.3576,0.3576,0.3576,0.3576,0.3576,0.3576,0.0544,0,30,0.0
11.0,11,0.0,0.4049,0.4049,0.4049,0.4049,0.4049,0.4049,0.0553,0,30,0.0
12.0,12,0.3065,0.4033,0.4033,0.4033,0.4033,0.4033,0.4033,0.0548,4,30,0.1333
13.0,13,0.0,0.4164,0.4164,0.4164,0.4164,0.4164,0.4164,0.053,0,30,0.0
14.0,14,0.3113,0.4559,0.4559,0.4559,0.4559,0.4559,0.4559,0.0537,1,30,0.0333
15.0,15,0.0,0.4481,0.4481,0.4481,0.4481,0.4481,0.4481,0.054,0,30,0.0
16.0,16,0.0,0.3768,0.3768,0.3768,0.3768,0.3768,0.3768,0.0545,0,30,0.0
17.0,17,0.3337,0.4133,0.4133,0.4133,0.4133,0.4133,0.4133,0.0587,2,30,0.0667
18.0,18,0.2826,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.057,1,30,0.0333
19.0,19,0.0,0.428,0.428,0.428,0.428,0.428,0.428,0.0554,0,30,0.0
20.0,20,0.0,0.4039,0.4039,0.4039,0.4039,0.4039,0.4039,0.0559,0,30,0.0
21.0,21,0.3613,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.0551,1,30,0.0333
22.0,22,0.0,0.3696,0.3696,0.3696,0.3696,0.3696,0.3696,0.054,0,30,0.0
23.0,23,0.0,0.4218,0.4218,0.4218,0.4218,0.4218,0.4218,0.056,0,30,0.0
24.0,24,0.3609,0.3347,0.3347,0.3347,0.3347,0.3347,0.3347,0.0555,1,30,0.0333
