time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.2724,0.6164,0.0952,0.3595,0.1765,0.1063,0.2708,0.0314,1,29,0.0345
1.0,1,0.0,0.2739,0.2739,0.2739,0.2739,0.2739,0.2739,0.0301,0,29,0.0
2.0,2,0.0,0.2692,0.2692,0.2692,0.2692,0.2692,0.2692,0.0298,0,29,0.0
3.0,3,0.0,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.0322,0,29,0.0
4.0,4,0.0,0.2536,0.2536,0.2536,0.2536,0.2536,0.2536,0.0313,0,29,0.0
5.0,5,0.0,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.0303,0,29,0.0
6.0,6,0.3468,0.2309,0.2309,0.2309,0.2309,0.2309,0.2309,0.0307,1,29,0.0345
7.0,7,0.3104,0.2589,0.2589,0.2589,0.2589,0.2589,0.2589,0.0293,5,29,0.1724
8.0,8,0.3464,0.2518,0.2518,0.2518,0.2518,0.2518,0.2518,0.0298,1,29,0.0345
9.0,9,0.0,0.2243,0.2243,0.2243,0.2243,0.2243,0.2243,0.0305,0,29,0.0
10.0,10,0.3872,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.0305,2,29,0.069
11.0,11,0.0,0.243,0.243,0.243,0.243,0.243,0.243,0.0298,0,29,0.0
