time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.4744,0.816,0.0633,0.4482,0.1756,0.4603,0.3927,0.0356,27,29,0.931
1.0,1,0.4849,0.2846,0.2846,0.2846,0.2846,0.2846,0.2846,0.0328,26,29,0.8966
2.0,2,0.4586,0.2912,0.2912,0.2912,0.2912,0.2912,0.2912,0.0325,5,29,0.1724
3.0,3,0.5513,0.3158,0.3158,0.3158,0.3158,0.3158,0.3158,0.0325,15,29,0.5172
4.0,4,0.0,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.0327,0,29,0.0
5.0,5,0.4457,0.2882,0.2882,0.2882,0.2882,0.2882,0.2882,0.0331,17,29,0.5862
6.0,6,0.3907,0.2713,0.2713,0.2713,0.2713,0.2713,0.2713,0.0334,29,29,1.0
7.0,7,0.4757,0.3691,0.3691,0.3691,0.3691,0.3691,0.3691,0.0353,14,29,0.4828
8.0,8,0.3853,0.4155,0.4155,0.4155,0.4155,0.4155,0.4155,0.0339,11,29,0.3793
9.0,9,0.3839,0.3669,0.3669,0.3669,0.3669,0.3669,0.3669,0.0347,21,29,0.7241
10.0,10,0.4579,0.2681,0.2681,0.2681,0.2681,0.2681,0.2681,0.034,14,29,0.4828
11.0,11,0.3548,0.4721,0.4721,0.4721,0.4721,0.4721,0.4721,0.033,16,29,0.5517
12.0,12,0.0,0.4616,0.4616,0.4616,0.4616,0.4616,0.4616,0.0342,0,29,0.0
13.0,13,0.3545,0.4602,0.4602,0.4602,0.4602,0.4602,0.4602,0.0328,13,29,0.4483
14.0,14,0.3228,0.3144,0.3144,0.3144,0.3144,0.3144,0.3144,0.0329,6,29,0.2069
15.0,15,0.0,0.3013,0.3013,0.3013,0.3013,0.3013,0.3013,0.0331,0,29,0.0
16.0,16,0.3375,0.2914,0.2914,0.2914,0.2914,0.2914,0.2914,0.0328,11,29,0.3793
17.0,17,0.3286,0.3095,0.3095,0.3095,0.3095,0.3095,0.3095,0.0329,21,29,0.7241
18.0,18,0.3484,0.3187,0.3187,0.3187,0.3187,0.3187,0.3187,0.0344,16,29,0.5517
19.0,19,0.0,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416,0.0345,0,29,0.0
20.0,20,0.3595,0.2776,0.2776,0.2776,0.2776,0.2776,0.2776,0.0335,3,29,0.1034
21.0,21,0.4696,0.3178,0.3178,0.3178,0.3178,0.3178,0.3178,0.0324,11,29,0.3793
22.0,22,0.3767,0.3278,0.3278,0.3278,0.3278,0.3278,0.3278,0.0323,9,29,0.3103
23.0,23,0.3855,0.3275,0.3275,0.3275,0.3275,0.3275,0.3275,0.0322,26,29,0.8966
24.0,24,0.3282,0.3143,0.3143,0.3143,0.3143,0.3143,0.3143,0.0325,7,29,0.2414
25.0,25,0.3763,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.0319,14,29,0.4828
26.0,26,0.5323,0.3142,0.3142,0.3142,0.3142,0.3142,0.3142,0.0343,28,29,0.9655
27.0,27,0.7144,0.1635,0.1635,0.1635,0.1635,0.1635,0.1635,0.0347,29,29,1.0
28.0,28,0.6575,0.2713,0.2713,0.2713,0.2713,0.2713,0.2713,0.0332,17,29,0.5862
29.0,29,0.0,0.2691,0.2691,0.2691,0.2691,0.2691,0.2691,0.0332,0,29,0.0
30.0,30,0.3591,0.3118,0.3118,0.3118,0.3118,0.3118,0.3118,0.033,15,29,0.5172
31.0,31,0.699,0.278,0.278,0.278,0.278,0.278,0.278,0.0337,16,29,0.5517
32.0,32,0.5992,0.2299,0.2299,0.2299,0.2299,0.2299,0.2299,0.0346,26,29,0.8966
33.0,33,0.3673,0.3329,0.3329,0.3329,0.3329,0.3329,0.3329,0.0336,3,29,0.1034
34.0,34,0.3552,0.3171,0.3171,0.3171,0.3171,0.3171,0.3171,0.0337,18,29,0.6207
35.0,35,0.4809,0.3462,0.3462,0.3462,0.3462,0.3462,0.3462,0.0327,13,29,0.4483
36.0,36,0.5664,0.3,0.3,0.3,0.3,0.3,0.3,0.0334,27,29,0.931
37.0,37,0.5297,0.3984,0.3984,0.3984,0.3984,0.3984,0.3984,0.0338,12,29,0.4138
38.0,38,0.3062,0.4298,0.4298,0.4298,0.4298,0.4298,0.4298,0.033,4,29,0.1379
39.0,39,0.3386,0.3482,0.3482,0.3482,0.3482,0.3482,0.3482,0.035,18,29,0.6207
40.0,40,0.3023,0.3048,0.3048,0.3048,0.3048,0.3048,0.3048,0.0332,14,29,0.4828
41.0,41,0.4027,0.3058,0.3058,0.3058,0.3058,0.3058,0.3058,0.0328,21,29,0.7241
42.0,42,0.384,0.3992,0.3992,0.3992,0.3992,0.3992,0.3992,0.0326,18,29,0.6207
43.0,43,0.5072,0.3263,0.3263,0.3263,0.3263,0.3263,0.3263,0.0336,14,29,0.4828
44.0,44,0.2621,0.2709,0.2709,0.2709,0.2709,0.2709,0.2709,0.0328,2,29,0.069
